,PERMNO,date,TICKER,COMNAM,stock_return,SHROUT,RETX,market_return
3959,57665,2019-03-01,NKE,NIKE INC,0.019246,1258773,0.01668,0.006898
3960,13788,2019-03-04,ZTS,ZOETIS INC,0.001253,478772,0.001253,-0.003768
3961,15720,2019-03-04,EIX,EDISON INTERNATIONAL,0.012722,325811,0.012722,-0.003768
3962,57665,2019-03-04,NKE,NIKE INC,-0.017439,1258773,-0.017439,-0.003768
3963,13788,2019-03-05,ZTS,ZOETIS INC,-0.000939,478772,-0.000939,-0.001059
3964,15720,2019-03-05,EIX,EDISON INTERNATIONAL,0.006603,325811,0.006603,-0.001059
3965,57665,2019-03-05,NKE,NIKE INC,-0.002335,1258773,-0.002335,-0.001059
3966,13788,2019-03-06,ZTS,ZOETIS INC,-0.016809,478772,-0.016809,-0.006534
3967,15720,2019-03-06,EIX,EDISON INTERNATIONAL,-0.01232,325811,-0.01232,-0.006534
3968,57665,2019-03-06,NKE,NIKE INC,-0.003628,1258773,-0.003628,-0.006534
3969,13788,2019-03-07,ZTS,ZOETIS INC,-0.017203,478772,-0.017203,-0.008
3970,15720,2019-03-07,EIX,EDISON INTERNATIONAL,0.007614,325811,0.007614,-0.008
3971,57665,2019-03-07,NKE,NIKE INC,0.001527,1258773,0.001527,-0.008
3972,13788,2019-03-08,ZTS,ZOETIS INC,-0.001513,478772,-0.001513,-0.002004
3973,15720,2019-03-08,EIX,EDISON INTERNATIONAL,-0.002412,325811,-0.002412,-0.002004
3974,57665,2019-03-08,NKE,NIKE INC,-0.005395,1258773,-0.005395,-0.002004
3975,13788,2019-03-11,ZTS,ZOETIS INC,0.025106,478772,0.025106,0.014628
3976,15720,2019-03-11,EIX,EDISON INTERNATIONAL,0.017405,325811,0.017405,0.014628
3977,57665,2019-03-11,NKE,NIKE INC,0.012028,1258773,0.012028,0.014628
3978,13788,2019-03-12,ZTS,ZOETIS INC,0.010767,478772,0.010767,0.002939
3979,15720,2019-03-12,EIX,EDISON INTERNATIONAL,0.016316,325811,0.016316,0.002939
3980,57665,2019-03-12,NKE,NIKE INC,-0.004544,1258773,-0.004544,0.002939
3981,13788,2019-03-13,ZTS,ZOETIS INC,0.012324,478772,0.012324,0.007003
3982,15720,2019-03-13,EIX,EDISON INTERNATIONAL,-0.000935,325811,-0.000935,0.007003
3983,57665,2019-03-13,NKE,NIKE INC,0.005853,1258773,0.005853,0.007003
3984,13788,2019-03-14,ZTS,ZOETIS INC,-0.007531,478772,-0.007531,-0.000529
3985,15720,2019-03-14,EIX,EDISON INTERNATIONAL,-0.00078,325811,-0.00078,-0.000529
3986,57665,2019-03-14,NKE,NIKE INC,0.010939,1258773,0.010939,-0.000529
3987,13788,2019-03-15,ZTS,ZOETIS INC,0.007381,478772,0.007381,0.004991
3988,15720,2019-03-15,EIX,EDISON INTERNATIONAL,-0.00203,325811,-0.00203,0.004991
3989,57665,2019-03-15,NKE,NIKE INC,-0.000806,1258773,-0.000806,0.004991
3990,13788,2019-03-18,ZTS,ZOETIS INC,0.008874,478772,0.008874,0.003872
3991,15720,2019-03-18,EIX,EDISON INTERNATIONAL,-0.006258,325811,-0.006258,0.003872
3992,57665,2019-03-18,NKE,NIKE INC,0.011751,1258773,0.011751,0.003872
3993,13788,2019-03-19,ZTS,ZOETIS INC,0.009717,478772,0.009717,3.7e-05
3994,15720,2019-03-19,EIX,EDISON INTERNATIONAL,-0.008029,325811,-0.008029,3.7e-05
