caldt,vwretd
2016-08-19,-0.001407
2016-08-22,-0.000531
2016-08-23,0.001901
2016-08-24,-0.005186
2016-08-25,-0.001417
2016-08-26,-0.001507
2016-08-29,0.005327
2016-08-30,-0.001856
2016-08-31,-0.002113
2016-09-01,0.000062
2016-09-02,0.004168
2016-09-06,0.003044
2016-09-07,0.000048
2016-09-08,-0.002212
2016-09-09,-0.024631
2016-09-12,0.014850
2016-09-13,-0.014479
2016-09-14,-0.000556
2016-09-15,0.010268
2016-09-16,-0.003711
2016-09-19,-0.000096
2016-09-20,0.000339
2016-09-21,0.010840
2016-09-22,0.006607
2016-09-23,-0.005616
2016-09-26,-0.008566
2016-09-27,0.006602
2016-09-28,0.005421
2016-09-29,-0.009336
2016-09-30,0.008020
2016-10-03,-0.003093
2016-10-04,-0.004861
2016-10-05,0.004643
2016-10-06,0.000282
2016-10-07,-0.003269
2016-10-10,0.004571
2016-10-11,-0.012473
2016-10-12,0.001210
2016-10-13,-0.002942
2016-10-14,0.000235
2016-10-17,-0.003033
2016-10-18,0.006191
2016-10-19,0.002288
2016-10-20,-0.001257
2016-10-21,0.000168
2016-10-24,0.004968
2016-10-25,-0.003732
2016-10-26,-0.001799
2016-10-27,-0.002977
2016-10-28,-0.003029
2016-10-31,0.000017
2016-11-01,-0.006803
2016-11-02,-0.006460
2016-11-03,-0.004080
2016-11-04,-0.001767
2016-11-07,0.022187
2016-11-08,0.004275
2016-11-09,0.010927
2016-11-10,0.001686
2016-11-11,-0.001386
2016-11-14,-0.000074
2016-11-15,0.007827
2016-11-16,-0.001269
2016-11-17,0.004585
2016-11-18,-0.002336
2016-11-21,0.007543
2016-11-22,0.002337
2016-11-23,0.000807
2016-11-25,0.003952
2016-11-28,-0.005094
2016-11-29,0.001574
2016-11-30,-0.002679
2016-12-01,-0.003675
2016-12-02,0.000425
2016-12-05,0.005921
2016-12-06,0.003438
2016-12-07,0.013377
2016-12-08,0.002244
2016-12-09,0.005861
2016-12-12,-0.001112
2016-12-13,0.006686
2016-12-14,-0.008035
2016-12-15,0.003833
2016-12-16,-0.001766
2016-12-19,0.002006
2016-12-20,0.003786
2016-12-21,-0.002423
2016-12-22,-0.001929
2016-12-23,0.001355
2016-12-27,0.002297
2016-12-28,-0.008146
2016-12-29,-0.000249
2016-12-30,-0.004631
2017-01-03,0.008524
2017-01-04,0.006017
2017-01-05,-0.000701
2017-01-06,0.003721
2017-01-09,-0.003469
2017-01-10,-0.000013
2017-01-11,0.002982
2017-01-12,-0.002043
2017-01-13,0.001778
2017-01-17,-0.002746
2017-01-18,0.001894
2017-01-19,-0.003551
2017-01-20,0.003397
2017-01-23,-0.002582
2017-01-24,0.006610
2017-01-25,0.007907
2017-01-26,-0.000680
2017-01-27,-0.000971
2017-01-30,-0.005914
2017-01-31,-0.000820
2017-02-01,0.000408
2017-02-02,0.000709
2017-02-03,0.007206
2017-02-06,-0.002143
2017-02-07,0.000334
2017-02-08,0.001084
2017-02-09,0.005981
2017-02-10,0.003575
2017-02-13,0.005383
2017-02-14,0.004298
2017-02-15,0.005146
2017-02-16,-0.000909
2017-02-17,0.002005
2017-02-21,0.006131
2017-02-22,-0.001011
2017-02-23,0.000395
2017-02-24,0.001748
2017-02-27,0.001030
2017-02-28,-0.002684
2017-03-01,0.013612
2017-03-02,-0.005670
2017-03-03,0.000452
2017-03-06,-0.003245
2017-03-07,-0.002858
2017-03-08,-0.001883
2017-03-09,0.000825
2017-03-10,0.003283
2017-03-13,0.000669
2017-03-14,-0.003223
2017-03-15,0.008363
2017-03-16,-0.001362
2017-03-17,-0.001342
2017-03-20,-0.002016
2017-03-21,-0.012262
2017-03-22,0.001926
2017-03-23,-0.001041
2017-03-24,-0.000811
2017-03-27,-0.000943
2017-03-28,0.007258
2017-03-29,0.001449
2017-03-30,0.002962
2017-03-31,-0.002145
2017-04-03,-0.001601
2017-04-04,0.000741
2017-04-05,-0.002921
2017-04-06,0.002122
2017-04-07,-0.000729
2017-04-10,0.000785
2017-04-11,-0.001251
2017-04-12,-0.003692
2017-04-13,-0.006767
2017-04-17,0.008592
2017-04-18,-0.002756
2017-04-19,-0.001583
2017-04-20,0.007563
2017-04-21,-0.003016
2017-04-24,0.010778
2017-04-25,0.005989
2017-04-26,-0.000463
2017-04-27,0.000718
2017-04-28,-0.001755
2017-05-01,0.001752
2017-05-02,0.001156
2017-05-03,-0.001165
2017-05-04,0.000778
2017-05-05,0.004036
