PERMNO,date
18484,2021-08-11
18484,2021-08-12
18484,2021-08-13
18484,2021-08-16
18484,2021-08-17
18484,2021-08-18
18484,2021-08-19
18484,2021-08-20
18484,2021-08-23
18484,2021-08-24
18484,2021-08-25
18484,2021-08-26
18484,2021-08-27
18484,2021-08-30
18484,2021-08-31
18484,2021-09-01
18484,2021-09-02
18484,2021-09-03
18484,2021-09-07
18484,2021-09-08
18484,2021-09-09
18484,2021-09-10
18484,2021-09-13
18484,2021-09-14
18484,2021-09-15
18484,2021-09-16
18484,2021-09-17
18484,2021-09-20
18484,2021-09-21
18484,2021-09-22
18484,2021-09-23
18484,2021-09-24
18484,2021-09-27
18484,2021-09-28
18484,2021-09-29
18484,2021-09-30
18484,2021-10-01
18484,2021-10-04
18484,2021-10-05
18484,2021-10-06
18484,2021-10-07
18484,2021-10-08
18484,2021-10-11
18484,2021-10-12
18484,2021-10-13
18484,2021-10-14
18484,2021-10-15
18484,2021-10-18
18484,2021-10-19
18484,2021-10-20
18484,2021-10-21
18484,2021-10-22
18484,2021-10-25
18484,2021-10-26
18484,2021-10-27
18484,2021-10-28
18484,2021-10-29
18484,2021-11-01
18484,2021-11-02
18484,2021-11-03
18484,2021-11-04
18484,2021-11-05
18484,2021-11-08
18484,2021-11-09
18484,2021-11-10
18484,2021-11-11
18484,2021-11-12
18484,2021-11-15
18484,2021-11-16
18484,2021-11-17
18484,2021-11-18
18484,2021-11-19
18484,2021-11-22
18484,2021-11-23
18484,2021-11-24
18484,2021-11-26
18484,2021-11-29
18484,2021-11-30
18484,2021-12-01
18484,2021-12-02
18484,2021-12-03
18484,2021-12-06
18484,2021-12-07
18484,2021-12-08
18484,2021-12-09
18484,2021-12-10
18484,2021-12-13
18484,2021-12-14
18484,2021-12-15
18484,2021-12-16
18484,2021-12-17
18484,2021-12-20
18484,2021-12-21
18484,2021-12-22
18484,2021-12-23
18484,2021-12-27
18484,2021-12-28
18484,2021-12-29
18484,2021-12-30
18484,2021-12-31
18484,2022-01-03
18484,2022-01-04
18484,2022-01-05
18484,2022-01-06
18484,2022-01-07
18484,2022-01-10
18484,2022-01-11
18484,2022-01-12
18484,2022-01-13
18484,2022-01-14
18484,2022-01-18
18484,2022-01-19
18484,2022-01-20
18484,2022-01-21
18484,2022-01-24
18484,2022-01-25
18484,2022-01-26
18484,2022-01-27
18484,2022-01-28
18484,2022-01-31
18484,2022-02-01
18484,2022-02-02
18484,2022-02-03
18484,2022-02-04
18484,2022-02-07
18484,2022-02-08
18484,2022-02-09
18484,2022-02-10
18484,2022-02-11
18484,2022-02-14
